question,intent
"qual o total de carros da marca Ford?",COUNT
"me informe a contagem de carros da Chevrolet no pátio",COUNT
"quantos carros Volkswagen estão em estoque?",COUNT
"diga-me o número de carros da Nissan",COUNT
"qual a quantidade de veículos da Hyundai?",COUNT
"liste todos os carros com motor 1.0",LIST_ALL
"mostre-me os carros que são da categoria Hatchback",LIST_ALL
"exiba todos os carros com câmbio manual",LIST_ALL
"quais carros são movidos a Etanol?",LIST_ALL
"liste todos os veículos de cor cinza",LIST_ALL
"qual o carro com o motor de menor cilindrada?",FIND_MIN
"encontre o veículo com a potência de motor mais baixa",FIND_MIN
"qual carro tem o menor torque de motor?",FIND_MIN
"mostre-me o carro com a menor potência em cavalos",FIND_MIN
"identifique o veículo com o motor menos potente",FIND_MIN
"qual a média de potência dos carros da Mercedes-Benz?",CALC_AVG
"calcule a média de quilometragem dos carros da Audi",CALC_AVG
"qual o consumo médio de combustível dos carros da Fiat?",CALC_AVG
"diga-me a média de assentos dos carros da Toyota",CALC_AVG
"qual a média de portas dos veículos da Ford?",CALC_AVG
"qual o carro com o motor mais potente do inventário?",FIND_MAX
"encontre o veículo com a maior cavalaria de motor",FIND_MAX
"qual carro tem o motor com maior torque?",FIND_MAX
"mostre o carro com a maior cilindrada de motor",FIND_MAX
"identifique o veículo com o motor mais forte",FIND_MAX
"agrupe os carros por ano de fabricação e conte-os",GROUP_COUNT
"qual a distribuição de carros por número de cilindros do motor?",GROUP_COUNT
"mostre a contagem de carros por tipo de tração",GROUP_COUNT
"para cada categoria, qual o número de carros?",GROUP_COUNT
"agrupe por fabricante e mostre a quantidade",GROUP_COUNT
"qual o carro com o maior número de quilômetros rodados?",FIND_MAX_MILEAGE
"encontre o veículo que mais viajou em distância",FIND_MAX_MILEAGE
"qual carro tem a maior marcação no odômetro?",FIND_MAX_MILEAGE
"mostre-me o carro com a quilometragem mais extensa",FIND_MAX_MILEAGE
"identifique o veículo mais rodado do estoque",FIND_MAX_MILEAGE
"qual o carro com o menor número de quilômetros rodados?",FIND_MIN_MILEAGE
"encontre o veículo que menos viajou em distância",FIND_MIN_MILEAGE
